metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
| greater::16384  b::1 b::1 -> ?::1        |  0.0009   |   0.0005    | 0.0006  |          1.74           |       1.67        |
| greater::256    h::1 h::1 -> ?::1        |  0.0000   |   0.0000    | 0.0000  |          1.64           |       0.71        |
| greater::4096   h::1 h::1 -> ?::1        |  0.0003   |   0.0002    | 0.0002  |          1.64           |       1.34        |
| greater::16384  h::1 h::1 -> ?::1        |  0.0013   |   0.0008    | 0.0012  |          1.68           |       1.14        |
| greater::256    i::1 i::1 -> ?::1        |  0.0001   |   0.0000    | 0.0001  |          2.43           |       1.14        |
| greater::4096   i::1 i::1 -> ?::1        |  0.0009   |   0.0004    | 0.0005  |          2.42           |       1.63        |
| greater::16384  i::1 i::1 -> ?::1        |  0.0034   |   0.0013    | 0.0022  |          2.65           |       1.54        |
| greater::256    l::1 l::1 -> ?::1        |  0.0002   |   0.0001    | 0.0001  |          2.35           |       1.82        |
| greater::4096   l::1 l::1 -> ?::1        |  0.0025   |   0.0007    | 0.0013  |          3.56           |       1.84        |
| greater::16384  l::1 l::1 -> ?::1        |  0.0098   |   0.0027    | 0.0052  |          3.63           |       1.88        |
| greater::256    q::1 q::1 -> ?::1        |  0.0002   |   0.0001    | 0.0001  |          2.32           |       1.86        |
| greater::4096   q::1 q::1 -> ?::1        |  0.0024   |   0.0007    | 0.0013  |          3.42           |       1.84        |
| greater::16384  q::1 q::1 -> ?::1        |  0.0097   |   0.0027    | 0.0053  |          3.59           |       1.85        |
| greater_equal::256    ?::1 ?::1 -> ?::1  |  0.0003   |   0.0003    | 0.0003  |           1.0           |        1.0        |
| greater_equal::4096   ?::1 ?::1 -> ?::1  |  0.0038   |   0.0038    | 0.0038  |           1.0           |        1.0        |
| greater_equal::16384  ?::1 ?::1 -> ?::1  |  0.0152   |   0.0152    | 0.0152  |           1.0           |        1.0        |
| greater_equal::256    B::1 B::1 -> ?::1  |  0.0000   |   0.0001    | 0.0000  |          0.38           |       0.46        |
| greater_equal::4096   B::1 B::1 -> ?::1  |  0.0002   |   0.0001    | 0.0002  |          1.61           |        1.0        |
| greater_equal::16384  B::1 B::1 -> ?::1  |  0.0008   |   0.0005    | 0.0006  |          1.41           |       1.28        |
| greater_equal::256    D::1 D::1 -> ?::1  |  0.0003   |   0.0003    | 0.0003  |           1.0           |        1.0        |
